uid,tournament,season,stage,home,away,home_placeholder,away_placeholder,venue,kickoff_utc,date_local,status,score,source_url
rwc-2027-pool-c-fiji-v-canada@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool C,Fiji,Canada,0,0,"Adelaide Oval, Adelaide",2027-10-10T01:45:00+00:00,2027-10-10,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-c-argentina-v-spain@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool C,Argentina,Spain,0,0,"Docklands Stadium, Melbourne",2027-10-10T04:15:00+00:00,2027-10-10,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-c-argentina-v-fiji@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool C,Argentina,Fiji,0,0,"Adelaide Oval, Adelaide",2027-10-16T02:45:00+00:00,2027-10-16,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-c-spain-v-canada@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool C,Spain,Canada,0,0,"North Queensland Stadium, Townsville",2027-10-16T10:15:00+00:00,2027-10-16,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-d-scotland-v-uruguay@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool D,Scotland,Uruguay,0,0,"Docklands Stadium, Melbourne",2027-10-03T06:15:00+00:00,2027-10-03,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-d-ireland-v-portugal@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool D,Ireland,Portugal,0,0,"Sydney Football Stadium, Sydney",2027-10-04T06:15:00+00:00,2027-10-04,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-d-ireland-v-scotland@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool D,Ireland,Scotland,0,0,"Perth Stadium, Perth",2027-10-10T09:45:00+00:00,2027-10-10,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-d-uruguay-v-portugal@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool D,Uruguay,Portugal,0,0,"Newcastle Stadium, Newcastle",2027-10-11T06:15:00+00:00,2027-10-11,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-d-ireland-v-uruguay@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool D,Ireland,Uruguay,0,0,"Docklands Stadium, Melbourne",2027-10-17T03:45:00+00:00,2027-10-17,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-d-scotland-v-portugal@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool D,Scotland,Portugal,0,0,"Brisbane Stadium, Brisbane",2027-10-17T06:15:00+00:00,2027-10-17,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-e-france-v-usa@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool E,France,USA,0,0,"Docklands Stadium, Melbourne",2027-10-02T07:45:00+00:00,2027-10-02,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-e-japan-v-samoa@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool E,Japan,Samoa,0,0,"Newcastle Stadium, Newcastle",2027-10-03T01:15:00+00:00,2027-10-03,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-e-usa-v-samoa@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool E,USA,Samoa,0,0,"Perth Stadium, Perth",2027-10-09T04:15:00+00:00,2027-10-09,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-e-france-v-japan@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool E,France,Japan,0,0,"Brisbane Stadium, Brisbane",2027-10-09T08:45:00+00:00,2027-10-09,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-e-japan-v-usa@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool E,Japan,USA,0,0,"Adelaide Oval, Adelaide",2027-10-15T09:30:00+00:00,2027-10-15,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-e-france-v-samoa@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool E,France,Samoa,0,0,"Sydney Football Stadium, Sydney",2027-10-17T08:45:00+00:00,2027-10-17,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-f-wales-v-zimbabwe@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool F,Wales,Zimbabwe,0,0,"Adelaide Oval, Adelaide",2027-10-02T02:45:00+00:00,2027-10-02,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-f-england-v-tonga@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool F,England,Tonga,0,0,"Brisbane Stadium, Brisbane",2027-10-02T10:15:00+00:00,2027-10-02,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-f-wales-v-tonga@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool F,Wales,Tonga,0,0,"Docklands Stadium, Melbourne",2027-10-08T07:15:00+00:00,2027-10-08,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-f-england-v-zimbabwe@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool F,England,Zimbabwe,0,0,"Adelaide Oval, Adelaide",2027-10-08T09:45:00+00:00,2027-10-08,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-f-tonga-v-zimbabwe@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool F,Tonga,Zimbabwe,0,0,"North Queensland Stadium, Townsville",2027-10-15T10:15:00+00:00,2027-10-15,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-pool-f-england-v-wales@rugby-calendars.ashbridgewater.github.io,rwc,2027,Pool F,England,Wales,0,0,"Stadium Australia, Sydney",2027-10-16T08:45:00+00:00,2027-10-16,scheduled,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-1@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Runner-up Pool C,Runner-up Pool F,1,1,"Sydney Football Stadium, Sydney",2027-10-23T03:15:00+00:00,2027-10-23,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-2@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Winner Pool A,Best 3rd Pool C/E/F,1,1,"Brisbane Stadium, Brisbane",2027-10-23T05:45:00+00:00,2027-10-23,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-3@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Winner Pool E,Runner-up Pool D,1,1,"Docklands Stadium, Melbourne",2027-10-23T08:15:00+00:00,2027-10-23,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-4@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Winner Pool B,Best 3rd Pool D/E/F,1,1,"Perth Stadium, Perth",2027-10-23T10:45:00+00:00,2027-10-23,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-5@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Winner Pool C,Best 3rd Pool A/E/F,1,1,"Sydney Football Stadium, Sydney",2027-10-24T03:15:00+00:00,2027-10-24,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-6@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Winner Pool D,Best 3rd Pool B/E/F,1,1,"Docklands Stadium, Melbourne",2027-10-24T05:45:00+00:00,2027-10-24,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-7@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Runner-up Pool A,Runner-up Pool E,1,1,"Brisbane Stadium, Brisbane",2027-10-24T08:15:00+00:00,2027-10-24,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-R16-8@rugby-calendars.ashbridgewater.github.io,rwc,2027,Round of 16,Winner Pool F,Runner-up Pool B,1,1,"Perth Stadium, Perth",2027-10-24T10:45:00+00:00,2027-10-24,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-QF-1@rugby-calendars.ashbridgewater.github.io,rwc,2027,Quarter Finals,Winner R16 2,Winner R16 4,1,1,"Stadium Australia, Sydney",2027-10-30T05:45:00+00:00,2027-10-30,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-QF-2@rugby-calendars.ashbridgewater.github.io,rwc,2027,Quarter Finals,Winner R16 1,Winner R16 3,1,1,"Brisbane Stadium, Brisbane",2027-10-30T08:45:00+00:00,2027-10-30,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-QF-3@rugby-calendars.ashbridgewater.github.io,rwc,2027,Quarter Finals,Winner R16 5,Winner R16 6,1,1,"Brisbane Stadium, Brisbane",2027-10-31T06:00:00+00:00,2027-10-31,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-QF-4@rugby-calendars.ashbridgewater.github.io,rwc,2027,Quarter Finals,Winner R16 7,Winner R16 8,1,1,"Stadium Australia, Sydney",2027-10-31T09:00:00+00:00,2027-10-31,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-SF-1@rugby-calendars.ashbridgewater.github.io,rwc,2027,Semi Finals,Winner QF1,Winner QF2,1,1,"Stadium Australia, Sydney",2027-11-05T09:00:00+00:00,2027-11-05,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-SF-2@rugby-calendars.ashbridgewater.github.io,rwc,2027,Semi Finals,Winner QF3,Winner QF4,1,1,"Stadium Australia, Sydney",2027-11-06T09:00:00+00:00,2027-11-06,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-BR-1@rugby-calendars.ashbridgewater.github.io,rwc,2027,Bronze Final,Loser SF1,Loser SF2,1,1,"Stadium Australia, Sydney",2027-11-12T08:45:00+00:00,2027-11-12,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
rwc-2027-F-1@rugby-calendars.ashbridgewater.github.io,rwc,2027,Rugby World Cup Final,Winner SF1,Winner SF2,1,1,"Stadium Australia, Sydney",2027-11-13T09:00:00+00:00,2027-11-13,tentative,,https://www.autumn-internationals.co.uk/RWC-2027/
